Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Int_X,Int_Y,Cost,CalcTime
0,1.4142135623731,0,1,1.5707963267949,0.989949493661167,6.06169239364845e-17,0,1.4142135623731,0,1,1.5707963267949,0.0713799454386173,0.999999999999959,0.545,0.0923403318370528,0,0,3.64400434432525,0.0080189
0.1,1.40387446743471,0.0965378543553119,1,1.77973006923629,0.956127645424255,0.00664371417228076,1.77635683940025e-16,1.40385723625642,0.0982689391910971,1,1.7807963267949,0.258430704900849,0.999999999902493,0.54499999999997,0.0916792765961489,0.282150399249294,0.00974718418528255,2.71719337991767,0.0064814
0.2,1.37327625586326,0.187242049240393,0.999999999999997,1.98680157188407,0.962364639012574,0.0175612034487908,-5.31130694980675e-14,1.37340534458063,0.192018378484938,1,1.98916999017199,0.282537822188191,0.999999999955674,0.545000000000041,0.0864954855030733,0.56019928977875,0.0382265399782534,2.09737799343859,0.005703
0.3,1.32334543441817,0.270060698069328,0.999999999999996,2.19002689941722,0.975205416228464,0.0297755912130884,2.06057393370429e-14,1.32476401806093,0.276940312022611,1,2.19301576961093,0.230718884308624,0.999999999807132,0.544999999999995,0.0812736618245798,0.830170497869946,0.0841175215843472,1.60266834709188,0.0062969
0.4,1.25633706496873,0.341047862407253,0.999999999999997,2.38637336300257,0.979849434408285,0.046386861518886,1.13686837721617e-14,1.26093992623457,0.349639819329833,1,2.38972214225438,0.151839732083684,0.964879818765513,0.544999999999998,0.0749815905615911,1.08839718848333,0.145460221834239,1.23739609904713,0.0059196
0.5,1.17613018721719,0.396531145056486,0.999999999999998,2.57348008864522,0.971615701688776,0.0643109253216369,7.81597009336115e-15,1.18558012243412,0.407908582605683,1,2.57711949341185,0.0849842479002038,0.805813428538956,0.544999999816908,0.0684766811136496,1.33182455554368,0.219500492188488,0.993881065010295,0.0049139
0.6,1.08807903753824,0.435351241310222,0.999999999983521,2.74938582187427,0.951417858067461,0.0618995042393759,-3.29557003908576e-10,1.10248269233678,0.45076703337101,1,2.75356098463318,0.0469809944165741,0.689605355901666,0.545000000237161,0.0621473742963789,1.55832753747029,0.302959061299566,0.861362099034094,0.0045944
0.7,0.997221370788413,0.458652316470392,0.99999999997191,2.91289881815734,0.922977993897914,0.0512228495656517,9.73320979369419e-11,1.01518624532966,0.478314523931011,1,2.91793395266667,0.0309065580042824,0.599199283142687,0.544999999974078,0.0560796830536737,1.76687041114221,0.392604708484937,0.769965449436352,0.0051849
0.8,0.907011314103373,0.468140262766187,0.99999999997931,3.06349032092421,0.890392357077821,0.0387284549442476,5.06727104720995e-11,0.926697763327668,0.491466636538442,1,3.06961649429356,0.0301409106535987,0.524818483138415,0.544999999987838,0.0503120544102128,1.95726052558403,0.485498202462282,0.698662408989026,0.0047893
0.9,0.819667070994118,0.46572874716879,0.999999999983283,3.20108633010808,0.857107065353525,0.02740831393713,2.87817769617505e-11,0.839366316405864,0.491661506457254,1,3.2083998261637,0.0390910969262177,0.460997415568236,0.544999999991699,0.0448663367169796,2.12986707756365,0.579067124471855,0.641110894215582,0.0047298
1,0.736475712652981,0.453304756418384,0.999999999985414,3.32591440184623,0.82556678982577,0.0182995124481851,1.38404843141871e-11,0.754874706825615,0.480595148358316,1,3.33439630669484,0.0534186314275183,0.404721965964447,0.544999999994284,0.0397452562678624,2.2854050855696,0.671122132566412,0.595337566219636,0.0047103
1.1,0.658053570420854,0.432593145131669,0.999999999986283,3.43839503527722,0.797238101865985,0.0114493121889313,3.55075968627723e-12,0.674307320674284,0.460016605957316,1,3.44794832517172,0.070004854416008,0.354308127383632,0.544999999995909,0.0349368793788927,2.42477597780548,0.759836626814061,0.56055674625748,0.0044713
1.2,0.584557712844825,0.405095250078346,0.99999999998627,3.5390612026957,0.772800425781016,0.00649118285502452,-3.81312759145652e-12,0.598254958499839,0.431589559697995,1,3.54954742472493,0.0867860465415645,0.308754131552479,0.544999999996924,0.0304195281073329,2.54895542537901,0.843707162492695,0.536119555188996,0.0056228
1.3,0.515847958738483,0.372076724547134,0.999999999985612,3.62849906172115,0.752379949011415,0.00295683515167981,-9.3509200382868e-12,0.526927736557844,0.396812370870732,1,3.63976791554411,0.102537448417293,0.267383145265301,0.544999999997548,0.0261656382019406,2.65891849111342,0.921506900551044,0.521189003680261,0.0046942
1.4,0.451603866055669,0.334583682702884,0.999999999984456,3.70730530857723,0.735762138579159,0.000422357817403225,-1.37642786057767e-11,0.460258676839813,0.35698254145684,1,3.7192156311081,0.116654394217105,0.229658004177417,0.544999999995829,0.0221444140236841,2.75559257054993,0.992239760019205,0.514724103310177,0.005303
1.5,0.391404378482018,0.293471941491769,0.999999999982705,3.77605742561313,0.722557419265277,-0.00144100053770967,-2.1271873151818e-11,0.397989903424608,0.313191240780085,1,3.78849039035298,0.128957553388409,0.195093823330716,0.544999999995375,0.0183235185772247,2.83982985340385,1.05509931369607,0.515600927605989,0.0046849
1.6,0.334778828893352,0.249439722677925,0.999999999980161,3.8352936122685,0.71231654446823,-0.00286475461060374,-2.95978352937709e-11,0.339739507320308,0.266335987185197,1,3.8481598019071,0.139534372223625,0.163223302563625,0.544999999995759,0.0146700886403605,2.91239270617198,1.1094339972617,0.522769911337533,0.0045353
1.7,0.281237387612691,0.203058608832361,0.999999999976819,3.88549974636246,0.70460258718752,-0.00400149830457971,-3.72310182683577e-11,0.285050531060004,0.217142794449151,1,3.89874186515676,0.148618966833524,0.133588011476758,0.544999999995922,0.0111513094677571,2.97394707564047,1.1547187410262,0.535388281360955,0.0050727
1.8,0.230287609443662,0.154800578028288,0.999999999972729,3.92710128788866,0.699029904800157,-0.00494806824075545,-4.45711023644435e-11,0.233424983770341,0.166192056771458,1,3.94069404265028,0.156506989085839,0.105740557720144,0.544999999918437,0.00773471169836513,3.02506049487724,1.19053241824532,0.552897672273065,0.0047359
1.9,0.18144210125317,0.105060751862922,0.999999999960931,3.96045855119871,0.695280209458886,-0.0057661463615074,-1.91384330605615e-10,0.18434610699241,0.113944763363879,1,3.97440686527887,0.163499344618963,0.0792497428383194,0.544999999842586,0.00438829652028523,3.06620244030325,1.2165402676492,0.575039498240743,0.0048992
2,0.134220862617597,0.0541764132813298,0.999999999927626,3.98586419833331,0.6931041102415,-0.00649761933297417,-4.74730121879929e-10,0.137291841912674,0.060767270169684,1,4.00020054916808,0.169868082651242,0.0537051429629277,0.544999999738945,0.00108055838436019,3.0977456413076,1.23248047885464,0.601814132868996,0.004586
2.1,0.0881506956148825,0.0024432078765051,0.999999999856658,4.0035421404196,0.692314366474307,-0.00717445455682628,-9.44629618970793e-10,0.0917419576635807,0.00695392823557542,1,4.01832348376963,0.175838451092828,0.0287199776550173,0.5450000009213,-0.00221954770319854,3.11996753302981,1.23815428338826,0.633396732651664,0.0054116
2.2,0.0427632556232858,-0.0498705173565848,0.999999999845111,4.01364728673067,0.692775179649613,-0.00782390308951421,7.13710690547488e-10,0.0471807853271607,-0.0472524727487027,1,4.02895176945898,0.181582419756059,0.00393237466899077,0.544999999838228,-0.00554265816256928,3.13305143442861,1.23341908445619,0.67002618538174,0.0064076
2.3,-0.00240722178988045,-0.102510398255725,0.999999999901923,4.01626577019064,0.694390378189282,-0.00847011840211545,4.22520685106067e-10,0.00309705786858398,-0.101642105772911,1,4.03218923864388,0.187220292055036,-0.020994797995351,0.544999999916324,-0.0089190497236314,3.13708729018943,1.2181843395549,0.711887008378737,0.006203
2.4,-0.0478258010755456,-0.155223094673003,0.999999999936644,4.0114154179199,0.697092309268266,-0.00913327576324033,2.71904276871739e-10,-0.0410179806613853,-0.156020805772579,1,4.02806759689379,0.192828287446904,-0.0463753551354826,0.544999999945429,-0.0123786562818228,3.13207198718713,1.19241006100397,0.759007347646088,0.0056593
2.5,-0.093957785254855,-0.207743206920796,0.999999999958923,3.999046342851,0.700832593549742,-0.00982714675414715,1.73676717452056e-10,-0.0856732538013497,-0.210193417286503,1,4.01654648439089,0.19845041874102,-0.0725032838734907,0.54499999996778,-0.0159510323748137,3.11790938078409,1.15610791422666,0.811196667442789,0.0056266
2.6,-0.14126823996583,-0.259779754313294,0.999999999973391,3.97904161930534,0.70557542095803,-0.0105561089865037,1.15680798273845e-10,-0.131380481972345,-0.263947100416259,1,3.99751339888491,0.204112787244081,-0.0996594527935183,0.544999999977004,-0.0196652194186385,3.09441026731202,1.10934497261204,0.868039371819137,0.0058533
2.7,-0.190219652058466,-0.311002034674293,0.99999999998289,3.95121808738959,0.711293623384964,-0.0113126557948987,7.42884864735078e-11,-0.178655918416556,-0.317033907414982,1,3.97078355523943,0.209837472933488,-0.128122559977832,0.544999999985283,-0.0235494537913346,3.06129263074648,1.05225023649847,0.928943470538595,0.0062074
