Condition,Scenario,State_MSE,State_RMSE,Input_MSE,Avg_SolveTime,Steps,Duration
OnReference,Circle,0.00186443922319545,0.0431791526456396,0.00257296210687039,0.00405897301587302,63,6.28318530717959
OnReference,Lemniscate,0.00175114336176281,0.0418466648821959,0.00471093624611823,0.00537033666666667,90,8.97597901025655
OnReference,Spiral,0.00220892426866282,0.0469991943405716,0.00130323535321108,0.00403395079365079,189,18.8495559215388
OnReference,SpiralEllipse,0.0040133692416489,0.0633511581713302,0.00186462371434183,0.00423699555555556,180,17.9519580205131
Perturbation,Circle,0.00349381644814348,0.0591085141764152,0.0206406679195333,0.00446954126984127,63,6.28318530717959
Perturbation,Lemniscate,0.00368611117918432,0.0607133525609014,0.0270349830297212,0.00508094666666667,90,8.97597901025655
Perturbation,Spiral,0.00275372189878106,0.0524759173219588,0.00732558609062181,0.00408816190476191,189,18.8495559215388
Perturbation,SpiralEllipse,0.00500416953270427,0.0707401550231852,0.00715778340343476,0.00431894722222222,180,17.9519580205131
Origin,Circle,0.326370988119201,0.571288883244897,0.274611425051113,0.00489534920634921,63,6.28318530717959
Origin,Lemniscate,0.181669781157476,0.426227381989328,0.0944280638200164,0.00535004111111111,90,8.97597901025655
Origin,Spiral,0.0962238331410184,0.310199666571417,0.0909525503067201,0.00416388677248678,189,18.8495559215388
Origin,SpiralEllipse,0.706730952845872,0.840672916683934,0.240386342113421,0.00468900277777778,180,17.9519580205131
