Shape,State_MSE,State_RMSE,Input_MSE,Avg_CalcTime,Steps,Duration
Hover,0,0,0,5.26713147410358e-05,251,5
Circle,0.00265684646638149,0.0515446065692764,0.744546327525316,6.37301587301587e-06,315,6.28318530717959
Spiral,0.00113386437569934,0.0336729026919175,0.857997174111324,5.85811240721103e-06,943,18.8495559215388
