Scenario,State_MSE,State_RMSE,Input_MSE,Avg_SolveTime,Steps,Duration
Hover,7.78801993770215e-20,2.79070240937692e-10,1.10848553172181e-20,0.00428259641434263,251,5
Circle,0.0289895871265206,0.170263287665077,0.00415519687909899,0.00387100761904762,315,6.28318530717959
Spiral,0.0243254827624401,0.155966287262473,0.00353122759957842,0.00382175302226936,943,18.8495559215388
