Scenario,State_MSE,State_RMSE,Avg_SolveTime,Steps,Duration
Hover,6.71719565326605e-20,2.59175532280076e-10,0.00429195816733068,251,5
Circle,0.12255555939977,0.350079361573587,0.00541204317460318,315,6.28318530717959
Spiral,0.111668961364852,0.334169061052714,0.00555623393425239,943,18.8495559215388
