Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Int_X,Int_Y,Cost,CalcTime
0,1.4142135623731,0,1,1.5707963267949,0.989949493661167,6.06169239364845e-17,0,1.4142135623731,0,1,1.5707963267949,0.245230306526155,0.999872308850573,0.545000000016839,0.0945936440054033,0,0,0.0206693076111186,0.0067078
0.02,1.41379370142386,0.0197922115389585,1.00000000000006,1.61279630637801,0.989868385843799,0.000416878394741748,6.06220851295802e-12,1.41379784470165,0.0197931694835827,1,1.6127963267949,0.240412424683825,0.999718503884835,0.545000000006905,0.0940079470747558,0.0565629439408743,0.000395909002544108,0.019959308702945,0.0077098
0.04,1.41253512533525,0.0395454653903803,1.00000000000021,1.6547836680612,0.989613836345308,0.000843488296830224,8.5478646383308e-12,1.4125516959854,0.0395494993782265,1,1.6547837889808,0.23553724896662,0.999023804269881,0.544999999998092,0.0933694108197644,0.113092312500038,0.00158285742305823,0.0192013814026943,0.0065841
0.06,1.41044095185438,0.0592208190640027,1.00000000000037,1.69673373073032,0.989185846580548,0.00128869449140038,7.86105402994509e-12,1.41047836697619,0.0592303657525772,1,1.69673408431756,0.230616480166219,0.996964826335802,0.54499999999214,0.0926781557328086,0.169554611930327,0.00355850744655481,0.0183918887684291,0.0064276
0.08,1.4075168796328,0.0787796598205256,1.0000000000005,1.73862193200074,0.988584495087178,0.00172667877680368,5.03138863905406e-12,1.4075835226015,0.0787974859604839,1,1.73862269042572,0.22566372713085,0.993471630006225,0.545000000004699,0.0919351265917575,0.225916522609575,0.006318969255792,0.0175639431939128,0.0060339
0.1,1.40377151971444,0.0981839730707002,1.00000000000062,1.78042383971393,0.987809234019747,0.00212871429738551,6.72311983862528e-12,1.40387520129865,0.0982131079949406,1,1.78042526312545,0.220693683636235,0.989584332758832,0.544999999992758,0.0911458394855607,0.282145011099462,0.00985881961067526,0.0167530833533049,0.005888
0.12,1.39921593354733,0.117396504343554,1.00000000000073,1.82211527764696,0.986859793674618,0.00250949020347248,4.11592537830075e-12,1.3993637567748,0.117440194433348,1,1.82211770661211,0.215718747829584,0.984805482349895,0.544999999993388,0.0903102155294906,0.338207440492592,0.0141711297072911,0.0159501329600748,0.0061838
0.14,1.39386334108539,0.1363809082388,1.00000000000078,1.86367241405426,0.985736546798616,0.00286230557286511,1.73546510495726e-12,1.39406178298683,0.136442599102593,1,1.86367624175054,0.210752236025785,0.979285435485007,0.544999999995262,0.0894311382783557,0.394071658384687,0.0192474979056419,0.0151667682416503,0.006065
0.16,1.38772918257044,0.155101948180892,1.0000000000008,1.90507178918083,0.984440221931577,0.00318627215449492,2.98427949019311e-14,1.38798402335848,0.155185234719905,1,1.90507747200073,0.205807080141854,0.973067773985758,0.544999999996757,0.0885111257236116,0.449706086283412,0.0250780904455458,0.0144086999222309,0.0063369
0.18,1.38083094488137,0.173525641486353,1.00000000000079,1.94629039384761,0.982972034625862,0.00348168410883175,-1.13757891995191e-12,1.38114726545213,0.173634229921748,1,1.94629844651979,0.200895848777923,0.966160072456317,0.544999999999938,0.0875525788239531,0.505079804688823,0.0316516886935407,0.0136802557345052,0.0058226
0.2,1.37318803568633,0.191619403844991,1.00000000000077,1.98730573045044,0.981333688213197,0.00374840178262918,-1.15974785330763e-12,1.37357022248734,0.191757074274054,1,1.98731672002266,0.196030783909007,0.958630263466831,0.544999999998539,0.0865582371983091,0.560162632380828,0.0389557422008468,0.0129856607330574,0.0058902
0.22,1.36482163868773,0.209352175672184,1.00000000000074,2.02809587299684,0.979527392403293,0.00398828271982353,-1.68576264059083e-12,1.36527340324328,0.209522750058172,1,2.02811040902676,0.191223506638279,0.950463668221585,0.544999999998801,0.0855304248913871,0.614925200541767,0.0469764272751001,0.0123273415600966,0.0051784
0.24,1.35575456949455,0.226694537682301,1.0000000000007,2.06863951953913,0.977555845746779,0.00420162148152625,-2.11734629829152e-12,1.35627897199621,0.226901849843055,1,2.06865824415231,0.186485193438722,0.941695803011812,0.544999999999234,0.0844717209926364,0.669339020726451,0.0556987102405574,0.0117083359685283,0.0060541
0.26,1.34601113701889,0.243618817429814,1.00000000000066,2.1089160364625,0.975422194483569,0.00438918589680866,-2.39328556972395e-12,1.34661060022375,0.243866679080014,1,2.10893961819981,0.181826425470966,0.932356571012365,0.544999999999618,0.0833846642029083,0.723376547516869,0.0651064152834838,0.0111308697363569,0.0068403
0.28,1.33561698247869,0.260099173401269,1.00000000000061,2.14890550298951,0.97313002040647,0.00455190571986078,-2.53095322477747e-12,1.33629331185554,0.260391343186683,1,2.14893462977767,0.177257148498805,0.922475653699796,0.544999999999921,0.0822717669258992,0.777011235033736,0.0751822960536785,0.0105965710385902,0.0060597
0.3,1.3245989172561,0.276111664407428,1.00000000000056,2.18858875004543,0.970683318894326,0.00469079833918646,-2.55944598848145e-12,1.32535332386485,0.276451818816393,1,2.18862412230603,0.172786635207323,0.9120835379864,0.545000000000144,0.081135507982383,0.830217586994104,0.0859081103415488,0.0101065208567861,0.005267
0.32,1.31298475869946,0.291634303207253,1.00000000000051,2.22794739415753,0.968086473238548,0.00480694673806523,-2.5077540044549e-12,1.31381788397893,0.29202600923311,1,2.22798971827543,0.168423433164279,0.901201162376264,0.545000000007393,0.0799782485944787,0.882971200239468,0.0972646972166915,0.00966127844967583,0.0051623
0.34,1.30080316846117,0.306647096962134,1.00000000000048,2.266963864905,0.965344217569414,0.00490105488149751,1.53725920881706e-13,1.30171510724047,0.30709378392599,1,2.26701384869138,0.164175467065423,0.889888040538642,0.545000000001786,0.0788025739043828,0.935248801718935,0.109232056029394,0.00926103081441563,0.006552
0.36,1.28808348236296,0.321132065050517,1.00000000000049,2.30562143212295,0.96246162602415,0.00497502414957649,7.96873678154961e-13,1.28907381307928,0.321637002797525,1,2.30567977768618,0.16004976418329,0.878154691714505,0.544999999999523,0.0776106209090026,0.987028278936752,0.121789426659999,0.00890515979722174,0.0049428
0.38,1.27485554660726,0.335073244634775,1.00000000000051,2.34390422554414,0.959444080015462,0.00502986457744862,6.2502891751138e-13,1.27592336445794,0.335639525441887,1,2.34397162232749,0.156052671834928,0.866036508751219,0.544999999995236,0.0764046701702068,1.03828870352421,0.1349153700825,0.00859291693599312,0.00561
0.4,1.26114956565987,0.348456688552419,1.0000000000005,2.38179724634514,0.956297223993742,0.00506672528279423,-1.09007913806635e-12,1.26229351053858,0.349087206192833,1,2.38187436769827,0.152189781883657,0.853567111137282,0.544999999996395,0.0751868924156774,1.08901034865281,0.148587849122178,0.00832313031345799,0.0050858
