Condition,Scenario,State_MSE,State_RMSE,Input_MSE,Avg_SolveTime,Steps,Duration
OnReference,Circle,6.54007089828728e-06,0.0025573562321834,3.43473871872471e-06,0.00384518412698413,315,6.28318530717959
OnReference,Lemniscate,7.82481672863915e-06,0.0027972873875666,1.83607506555581e-05,0.00440461714922049,449,8.97597901025655
OnReference,Spiral,7.37316104425935e-06,0.00271535652249559,2.57337142038465e-06,0.00386174093319194,943,18.8495559215388
OnReference,SpiralEllipse,1.12286840452688e-05,0.00335092286471485,1.96520942444842e-06,0.00389088307349665,898,17.9519580205131
Perturbation,Circle,0.00174380754141899,0.0417589216984705,0.00424584591283102,0.00381311555555555,315,6.28318530717959
Perturbation,Lemniscate,0.00194191137724383,0.0440671235417497,0.00236684919884163,0.00437274922048998,449,8.97597901025655
Perturbation,Spiral,0.000594320367175785,0.0243786867401791,0.00141972339742998,0.00373223700954401,943,18.8495559215388
Perturbation,SpiralEllipse,0.00066612427411398,0.0258093834508688,0.00154700043824656,0.00394761614699332,898,17.9519580205131
Origin,Circle,0.319253596930466,0.565025306451371,0.153438521691497,0.00406295587301587,315,6.28318530717959
Origin,Lemniscate,0.174328208317801,0.417526296558434,0.0604397518360546,0.00418052739420936,449,8.97597901025655
Origin,Spiral,0.0945914467217962,0.307557225117207,0.0501842081878183,0.00391620212089077,943,18.8495559215388
Origin,SpiralEllipse,0.804738680621284,0.897072282829697,0.249358951178053,0.0044573934298441,898,17.9519580205131
