Condition,Scenario,State_MSE,State_RMSE,Input_MSE,Avg_SolveTime,Steps,Duration
OnReference,Circle,0.0118585803041758,0.10889710879622,0.0190434861115257,0.005415640625,32,6.28318530717959
OnReference,Lemniscate,0.00830532367379844,0.0911335485636241,0.0295998005125132,0.00658215333333333,45,8.97597901025655
OnReference,Spiral,0.0141913594551018,0.11912749244025,0.00925444150884326,0.00459731052631579,95,18.8495559215388
OnReference,SpiralEllipse,0.0287351555604842,0.169514470062246,0.0108852973885455,0.00454979,90,17.9519580205131
Perturbation,Circle,0.0133068457143193,0.115355302064185,0.0392617340079099,0.00464270625,32,6.28318530717959
Perturbation,Lemniscate,0.0103580036423236,0.101774277901263,0.054525613209621,0.00624676666666667,45,8.97597901025655
Perturbation,Spiral,0.0146840024655611,0.121177565850949,0.0160640019790546,0.00425815894736842,95,18.8495559215388
Perturbation,SpiralEllipse,0.0303607552788254,0.174243379440441,0.0190513667778967,0.00456994333333333,90,17.9519580205131
Origin,Circle,0.421904872272979,0.649542048117732,0.199794728471973,0.005286740625,32,6.28318530717959
Origin,Lemniscate,0.261862581527214,0.511725103475698,0.0605527716527019,0.00595103333333333,45,8.97597901025655
Origin,Spiral,0.135458832792146,0.368047324120344,0.0697981500566578,0.00440242736842105,95,18.8495559215388
Origin,SpiralEllipse,5.84796278812097,2.41825614609391,1.95136325398071,0.00788652777777778,90,17.9519580205131
