Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Err_Int_X,Err_Int_Y,Err_Int_Z,Err_Int_Psi,CalcTime
0,1,0,0.5,1.5707963267949,1,6.12323399573677e-17,0.2,1,0,0.5,1.5707963267949,0,0,0.545,0,0,0,0,0,0.0001054
0.02,1.00000012915085,0.0199003337487212,0.504,1.5898288431877,0.989870403419763,-0.0188611709720419,0.2,0.999800006666578,0.0199986666933331,0.504,1.5907963267949,0.00786454919941354,0.0152645239903136,0.545000000000058,0.0261239923614047,2.0424747953288e-06,3.96429658234348e-06,8.88178419700125e-18,1.93496721438446e-05,2.65e-05
0.04,0.999994532531263,0.0396056465769456,0.508,1.60761127084218,0.979852238627946,-0.0355159457854953,0.200000000000021,0.999200106660978,0.0399893341866342,0.508,1.6107963267949,0.0241212852079019,0.0451855976552594,0.544999999999959,0.0618177256226043,1.02958300616545e-05,1.95596030855914e-05,1.11022302462516e-17,8.30507911981337e-05,1.02e-05
0.06,0.999964625634034,0.0591266679008746,0.512,1.6255719074222,0.970290911206251,-0.0507858433083296,0.200000000000006,0.998200539935204,0.0599640064794446,0.512,1.6307963267949,0.0408794615984102,0.0736455158587187,0.544999999999928,0.0614516781626885,2.89490948148297e-05,5.38715458058501e-05,2.22044604925031e-18,0.000187539178651974,7.4e-06
0.08,0.999885968746078,0.0784766069044226,0.516,1.64442743549974,0.96117264802282,-0.0654372990134298,0.19999999999998,0.996801706302619,0.0799146939691727,0.516,1.6507963267949,0.0579847349364126,0.100085568266588,0.545000000000056,0.0413810723524823,6.21707551741108e-05,0.000113273809848093,2.22044604925031e-18,0.00031491700455518,6.4e-06
0.1,0.999735327014167,0.0976680366348414,0.52,1.66365401139816,0.952533863779053,-0.0790528510767787,0.2,0.995004165278026,0.0998334166468282,0.52,1.6707963267949,0.0752711573396073,0.12461291640347,0.545000000000058,0.0336660096642653,0.000114065651501685,0.000203473724055846,1.11022302462516e-17,0.000457763312490012,6.1e-06
0.12,0.999490839901475,0.116712841960691,0.524,1.68263367230761,0.944444026196462,-0.0911403649266256,0.200000000000021,0.992808635853866,0.119712207288919,0.524,1.6907963267949,0.0924205060738185,0.147455264074065,0.544999999999959,0.0418958878783977,0.000188593462039659,0.000329588048297143,1.33226762955019e-17,0.000621016402235726,5.4e-06
0.14,0.999131895672799,0.135622133613591,0.528,1.70140640463973,0.936922213846951,-0.101834579116233,0.200000000000006,0.990215996212637,0.139543114644236,0.528,1.7107963267949,0.10942177183369,0.168675050526531,0.544999999999928,0.04954241749178,0.000289569118349249,0.000496173939066457,4.44089209850063e-18,0.000808814845338976,5.6e-06
0.16,0.998639036451395,0.15440618997282,0.532,1.72032710135988,0.929945727192442,-0.11155798236793,0.199999999999981,0.987227283375627,0.159318206614246,0.532,1.7307963267949,0.126460682096386,0.188210325971494,0.545000000000056,0.0480228528016838,0.00042071432253005,0.000707226874889568,4.44089209850063e-18,0.00101819935403923,5.4e-06
0.18,0.997993952032122,0.173074563532541,0.536,1.73950789376856,0.923511074599518,-0.120500398751234,0.200000000000001,0.983843692788121,0.179029573425824,0.536,1.7507963267949,0.143475996272516,0.206140951571759,0.545000000000058,0.043181452637105,0.000585643592699963,0.00096621553804266,1.33226762955019e-17,0.00124396801456587,8.6e-06
