Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Err_Int_X,Err_Int_Y,Err_Int_Z,Err_Int_Psi,CalcTime
0,1,0,1,1.5707963267949,1,6.12323399573677e-17,0,1,0,1,1.5707963267949,0,0,0.545,0,0,0,0,0,7.64e-05
0.02,1.00000012915085,0.0199003337487212,1,1.5898288431877,0.989870403419763,-0.0188611709720419,0,0.999800006666578,0.0199986666933331,1,1.5907963267949,0.00786454919941354,0.0152645239903136,0.545,0.0261239923614047,2.0424747953288e-06,3.96429658234348e-06,0,1.93496721438446e-05,1.86e-05
0.04,0.999994532531263,0.0396056465769456,1,1.60761127084218,0.979852238627946,-0.0355159457854953,0,0.999200106660978,0.0399893341866342,1,1.6107963267949,0.0241212852079019,0.0451855976552594,0.545,0.0618177256226043,1.02958300616545e-05,1.95596030855914e-05,0,8.30507911981337e-05,1.04e-05
0.06,0.999964625634034,0.0591266679008746,1,1.6255719074222,0.970290911206251,-0.0507858433083296,0,0.998200539935204,0.0599640064794446,1,1.6307963267949,0.0408794615984102,0.0736455158587187,0.545,0.0614516781626885,2.89490948148297e-05,5.38715458058501e-05,0,0.000187539178651974,6.6e-06
0.08,0.999885968746078,0.0784766069044226,1,1.64442743549974,0.96117264802282,-0.0654372990134298,0,0.996801706302619,0.0799146939691727,1,1.6507963267949,0.0579847349364126,0.100085568266588,0.545,0.0413810723524823,6.21707551741108e-05,0.000113273809848093,0,0.00031491700455518,5.4e-06
0.1,0.999735327014167,0.0976680366348414,1,1.66365401139816,0.952533863779053,-0.0790528510767787,0,0.995004165278026,0.0998334166468282,1,1.6707963267949,0.0752711573396073,0.12461291640347,0.545,0.0336660096642653,0.000114065651501685,0.000203473724055846,0,0.000457763312490012,7.9e-06
0.12,0.999490839901475,0.116712841960691,1,1.68263367230761,0.944444026196462,-0.0911403649266256,0,0.992808635853866,0.119712207288919,1,1.6907963267949,0.0924205060738185,0.147455264074065,0.545,0.0418958878783977,0.000188593462039659,0.000329588048297143,0,0.000621016402235726,5.8e-06
0.14,0.999131895672799,0.135622133613591,1,1.70140640463973,0.936922213846951,-0.101834579116233,0,0.990215996212637,0.139543114644236,1,1.7107963267949,0.10942177183369,0.168675050526531,0.545,0.04954241749178,0.000289569118349249,0.000496173939066457,0,0.000808814845338976,5.2e-06
0.16,0.998639036451395,0.15440618997282,1,1.72032710135988,0.929945727192442,-0.11155798236793,0,0.987227283375627,0.159318206614246,1,1.7307963267949,0.126460682096386,0.188210325971494,0.545,0.0480228528016838,0.00042071432253005,0.000707226874889568,0,0.00101819935403923,4.8e-06
0.18,0.997993952032122,0.173074563532541,1,1.73950789376856,0.923511074599518,-0.120500398751234,0,0.983843692788121,0.179029573425824,1,1.7507963267949,0.143475996272516,0.206140951571759,0.545,0.043181452637105,0.000585643592699963,0.00096621553804266,0,0.00124396801456587,5e-06
0.2,0.997179461388561,0.19163617569953,1,1.75878847872362,0.917642615166802,-0.128595390060774,0,0.980066577841242,0.198669330795061,1,1.7707963267949,0.160179948327616,0.22269771136934,0.545,0.0421494847637182,0.000787791856475692,0.0012761550499046,0,0.00148412497599137,4.7e-06
0.22,0.996179411991077,0.210099240027649,1,1.77803661947167,0.91235493116312,-0.135796554473187,0,0.975897449330606,0.218229623080869,1,1.7907963267949,0.176440732781594,0.238027129886449,0.545,0.0444898278575948,0.00103038446159511,0.00163965647097817,0,0.00173931912245598,5.9e-06
0.24,0.99497857054578,0.22847115261396,1,1.79728423154213,0.907636939728942,-0.142202716155783,0,0.97133797485203,0.237702626427135,1,1.8107963267949,0.192371810973454,0.252115781475592,0.545,0.0460348448467535,0.00131647169388715,0.00205893352130047,0,0.00200956102751136,5e-06
0.26,0.993562585017342,0.246758530404317,1,1.81661316773565,0.903471865206643,-0.147956701070973,0,0.966389978134513,0.257080551892155,1,1.8307963267949,0.208056768143362,0.264960593833436,0.545,0.0453722357013427,0.00164895465801949,0.00253581186587426,0,0.00229322420869632,4.8e-06
0.28,0.991917983009135,0.264967331185273,1,1.83603355368998,0.899853683579278,-0.153134698708951,0,0.961055438310771,0.276355648564114,1,1.8507963267949,0.223389107938425,0.276686473833314,0.545,0.0442747453187188,0.00203056113668607,0.00307177144516321,0,0.00258847967079472,5.2e-06
0.3,0.990032132630936,0.283102883200314,1,1.85549934968624,0.896780015897847,-0.157756796347146,0,0.955336489125606,0.29552020666134,1,1.8707963267949,0.238221307137733,0.287454918292686,0.545,0.0442384962318932,0.00246381144744288,0.00366799724828064,0,0.00289441921296775,5e-06
0.32,0.987893166592746,0.301169816990685,1,1.87498265650437,0.894240078516797,-0.161852792152013,0,0.949235418082441,0.314566560616118,1,1.8907963267949,0.252534832028014,0.297341139119503,0.545,0.0448657393898116,0.00295101871705521,0.0043254063905182,0,0.00321069261877829,4.7e-06
0.34,0.985489923581124,0.319172030203371,1,1.89449452674288,0.892215607270621,-0.165483728870145,0,0.942754665528346,0.333487092140814,1,1.9107963267949,0.266396340354505,0.306355678966951,0.545,0.0451605170033088,0.00349431130036706,0.00504465772389375,0,0.00353672861981866,7.4e-06
