Shape,State_MSE,State_RMSE,Input_MSE,Avg_CalcTime,Steps,Duration
Hover,0,0,0,2.56107569721116e-05,251,5
Circle,0.0375475090721983,0.193771796379655,0.0396253178205995,5.88920634920634e-06,315,6.28318530717959
Spiral,0.0129848644047906,0.113951149203466,0.0138637454026503,6.73860021208909e-06,943,18.8495559215388
