Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Err_Int_X,Err_Int_Y,Err_Int_Z,Err_Int_Psi,CalcTime
1.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7e-06
1.22,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
1.24,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
1.26,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
1.28,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
1.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
1.32,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.39e-05
1.34,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.11e-05
1.36,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.6e-06
1.38,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
1.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
1.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.7e-06
1.44,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
1.46,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
1.48,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,8.7e-06
1.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.1e-06
1.52,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
1.54,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
1.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
1.58,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
1.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
1.62,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
1.64,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
1.66,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
1.68,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
1.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
1.72,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.53e-05
1.74,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.45e-05
1.76,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,8e-06
1.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
1.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
1.82,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.7e-06
1.84,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.7e-06
1.86,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
1.88,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.8e-06
1.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.8e-06
1.92,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
1.94,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.9e-06
1.96,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.8e-06
1.98,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
2,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.7e-06
2.02,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.8e-06
2.04,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.9e-06
2.06,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.7e-06
2.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.5e-06
2.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,8.8e-06
2.12,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,9.1e-06
2.14,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.8e-06
2.16,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.8e-06
2.18,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.88e-05
2.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.7e-06
2.22,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
2.24,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.01e-05
2.26,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.3e-06
2.28,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.8e-06
2.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.75e-05
2.32,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,9.5e-06
2.34,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.4e-06
2.36,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.7e-06
2.38,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
2.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.2e-06
2.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.8e-06
2.44,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
2.46,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.9e-06
2.48,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
2.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.44e-05
2.52,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,8.7e-06
2.54,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.5e-06
2.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.9e-06
2.58,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6e-06
2.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
2.62,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.42e-05
2.64,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,9.5e-06
2.66,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.9e-06
2.68,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
2.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
2.72,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
2.74,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.9e-06
