Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Int_X,Int_Y,Cost,CalcTime
0,1.15,0,0.5,1.5707963267949,1,6.12323399573677e-17,0.2,1,0,0.5,1.5707963267949,0.310994046717086,0.99999999921375,0.545000000000023,0.0635738890573109,0,0,18.0023094916238,0.0065377
0.05,1.14738191301043,0.0501064575988991,0.51,1.62316571155825,1.0074174050556,0.0519160138730866,0.200000000000021,0.998750260394966,0.0499791692706783,0.51,1.6207963267949,0.335790814496028,0.99999999900002,0.544999999999984,0.0490630020376863,0.11491267123348,0.00250393700057647,16.2794696523675,0.0054316
0.1,1.13955410393787,0.100296688607067,0.520000000000001,1.67770481169291,1.01981420752679,0.100121795360013,0.200000000000006,0.995004165278026,0.0998334166468282,0.52,1.67079632679489,0.341575728381078,0.999999507110347,0.544999999999994,0.0473889078115629,0.229302720392368,0.0100240989804452,14.5727224643178,0.0057652
0.15,1.12656218765898,0.15035385133783,0.530000000000001,1.73201232435866,1.03500187805848,0.146863780447858,0.200000000000001,0.988771077936042,0.149438132473599,0.53,1.72079632679489,0.334871925386842,0.921550498156153,0.544999999999996,0.0464915838181214,0.342651340025154,0.0225588358472086,12.902735827536,0.0054215
0.2,1.10867233522215,0.200021264285233,0.540000000000001,1.78582776413778,1.05132386288453,0.184183610117643,0.199999999999998,0.980066577841242,0.198669330795061,0.54,1.77079632679489,0.320086614567071,0.784564763240269,0.544999999997298,0.045804026789073,0.454451891004774,0.0400818407088797,11.4744929698336,0.0047828
0.25,1.08651597476596,0.249094869670913,0.549999999999941,1.83906648024326,1.06724709100102,0.206266048431215,0.199999999997566,0.968912421710645,0.247403959254523,0.55,1.82079632679489,0.300827503854752,0.673862545665028,0.544999998006966,0.0452580491181836,0.564243602032921,0.0625432365323988,10.376873401779,0.0042848
0.3,1.06080759767232,0.297424337146015,0.559999999954976,1.89170533137321,1.08159045245653,0.216240753375501,0.199999998203835,0.955336489125607,0.29552020666134,0.56,1.87079632679489,0.279337949616419,0.585981822927854,0.545000000868458,0.0448202079987991,0.671636694519299,0.0898759615270081,9.51533255705936,0.0041426
0.35,1.03213387172861,0.34487676421127,0.569999999884708,1.94375678068864,1.09360439111564,0.216826000502304,0.199999998985447,0.93937271284738,0.342897807455452,0.57,1.92079632679489,0.257343191477901,0.517672603245148,0.545000000485724,0.0444729805775127,0.776306283268663,0.121998829512698,8.8260135709938,0.0046261
0.4,1.00097245030696,0.391332638763,0.579999999844909,1.99525484465566,1.1028798918938,0.210350408186063,0.199999999422599,0.921060994002887,0.389418342308651,0.58,1.97079632679489,0.236122291861001,0.46594366234297,0.545000000290883,0.0442049558150057,0.877980550184927,0.158818063646428,8.26461228959901,0.0044454
0.45,0.967708908427392,0.43668262708929,0.589999999822584,2.04624680461635,1.1092682803357,0.198779687736444,0.199999999684394,0.900447102352679,0.434965534111231,0.59,2.02079632679489,0.216578356978638,0.428078996355967,0.545000000183746,0.0440058604348678,0.976430705257817,0.200228468364232,7.79934066579837,0.0043987
