Condition,Scenario,State_MSE,State_RMSE,Input_MSE,Avg_SolveTime,Steps,Duration
OnReference,Circle,0.000167612958096584,0.0129465423220482,0.000158286736174831,0.00430071111111111,126,6.28318530717959
OnReference,Lemniscate,0.000202315626834808,0.0142237697828251,0.000531228282959319,0.00456565055555555,180,8.97597901025655
OnReference,Spiral,0.000193184983992963,0.0138991001145025,9.12657536691811e-05,0.0039194275862069,377,18.8495559215388
OnReference,SpiralEllipse,0.000326234002229021,0.018061949015237,0.000105935558145151,0.00424062,360,17.9519580205131
Perturbation,Circle,0.00158875292963822,0.0398591636846311,0.0113906631336515,0.00417975555555555,126,6.28318530717959
Perturbation,Lemniscate,0.00202727797294715,0.0450253036963345,0.00829508502959664,0.00470870055555555,180,8.97597901025655
Perturbation,Spiral,0.000671246768412889,0.0259084304505867,0.00384532069008801,0.00394316127320955,377,18.8495559215388
Perturbation,SpiralEllipse,0.00096480357508135,0.0310612874021884,0.00310457576272555,0.00427595583333333,360,17.9519580205131
Origin,Circle,0.288668209598219,0.537278521437643,0.239941277771772,0.00465375396825397,126,6.28318530717959
Origin,Lemniscate,0.154280072491176,0.392785020706207,0.081451986823126,0.004678765,180,8.97597901025655
Origin,Spiral,0.0836477029854754,0.289219126244229,0.0791510825377439,0.00398077851458886,377,18.8495559215388
Origin,SpiralEllipse,0.810707218277733,0.900392813319683,0.290195103996073,0.00464671305555555,360,17.9519580205131
